,Site,Measurement,DateTime,Value,limit type,limit
0,SQ33147,Total Nitrogen,2006-02-15 11:15:00,200.0,maximum,30
0,SQ33147,Total Phosphorus,2006-02-15 11:15:00,18.0,maximum,10
1,SQ33148,Total Phosphorus,2017-09-26 07:44:00,11.1,maximum,10
0,SQ20175,Turbidity,2019-12-04 12:06:00,2200.0,maximum,2000
1,SQ20177,Turbidity,2019-12-04 10:57:00,2300.0,maximum,2000
2,SQ31018,Turbidity,2019-01-24 14:44:00,3800.0,maximum,2000
3,SQ33148,Turbidity,2017-09-26 07:44:00,10000.0,maximum,2000
4,SQ33148,Turbidity,2018-11-26 07:56:00,4300.0,maximum,2000
5,SQ33270,Turbidity,2018-10-30 09:45:00,3700.0,maximum,2000
6,SQ33270,Turbidity,2018-11-26 09:22:00,5000.0,maximum,2000
7,SQ34869,Turbidity,2017-09-26 10:26:00,3800.0,maximum,2000
8,SQ35174,Turbidity,2017-09-26 14:28:00,3000.0,maximum,2000
9,SQ35174,Turbidity,2017-12-19 13:29:00,2200.0,maximum,2000
10,SQ35174,Turbidity,2018-02-26 13:50:00,13700.0,maximum,2000
11,SQ35174,Turbidity,2018-03-26 14:50:00,2900.0,maximum,2000
12,SQ35174,Turbidity,2018-10-30 15:41:00,7700.0,maximum,2000
13,SQ35174,Turbidity,2018-11-26 14:30:00,6000.0,maximum,2000
14,SQ35174,Turbidity,2019-07-22 16:56:00,2200.0,maximum,2000
15,SQ35800,Turbidity,2015-04-28 11:49:00,2100.0,maximum,2000
16,SQ35800,Turbidity,2018-11-26 13:07:00,3000.0,maximum,2000
17,SQ35800,Turbidity,2019-12-18 13:55:00,3500.0,maximum,2000
18,SQ35873,Turbidity,2017-01-19 10:52:00,2400.0,maximum,2000
19,SQ35888,Turbidity,2018-02-23 11:16:00,2500.0,maximum,2000
0,SQ10037,pH (Field),2013-06-20 09:30:00,5.92,minimum,6
1,SQ22030,pH (Field),2015-04-08 12:19:00,5.74,minimum,6
2,SQ22030,pH (Field),2016-03-04 06:35:00,5.95,minimum,6
3,SQ22030,pH (Field),2018-06-12 14:10:00,5.88,minimum,6
4,SQ30215,pH (Field),2016-01-12 10:19:00,5.29,minimum,6
5,SQ30215,pH (Field),2016-08-02 09:18:00,5.9,minimum,6
6,SQ30977,pH (Field),2019-06-20 11:18:00,4.7,minimum,6
0,SQ20401,E. coli,2005-02-16 09:35:00,9800.0,maximum,5000
1,SQ30222,E. coli,2004-07-29 10:25:00,5800.0,maximum,5000
2,SQ30928,E. coli,2006-02-09 09:35:00,17000.0,maximum,5000
3,SQ30954,E. coli,2017-07-25 10:57:00,5170.0,maximum,5000
4,SQ32732,E. coli,2009-02-03 10:23:00,9800.0,maximum,5000
5,SQ32732,E. coli,2009-04-03 07:55:00,20000.0,maximum,5000
6,SQ32732,E. coli,2009-12-02 10:15:00,6900.0,maximum,5000
7,SQ33273,E. coli,2006-07-20 11:05:00,7700.0,maximum,5000
8,SQ33476,E. coli,2006-07-20 10:50:00,7700.0,maximum,5000
9,SQ33593,E. coli,2015-03-10 14:41:00,14140.0,maximum,5000
10,SQ34557,E. coli,2006-07-20 11:45:00,5800.0,maximum,5000
11,SQ34580,E. coli,2006-02-09 09:15:00,6100.0,maximum,5000
12,SQ34626,E. coli,2010-12-14 08:09:00,5500.0,maximum,5000
13,SQ34646,E. coli,2005-07-20 10:30:00,16000.0,maximum,5000
14,SQ34711,E. coli,2006-07-20 09:45:00,5200.0,maximum,5000
15,SQ34869,E. coli,2017-09-26 10:26:00,5790.0,maximum,5000
16,SQ35156,E. coli,2009-12-02 09:58:00,17000.0,maximum,5000
17,SQ35234,E. coli,2009-12-02 10:22:00,9200.0,maximum,5000
